test_data\images\DJI_0009_patch_00.JPG test_data\masks\DJI_0009_patch_00.JPG
test_data\images\DJI_0009_patch_01.JPG test_data\masks\DJI_0009_patch_01.JPG
test_data\images\DJI_0009_patch_02.JPG test_data\masks\DJI_0009_patch_02.JPG
test_data\images\DJI_0009_patch_03.JPG test_data\masks\DJI_0009_patch_03.JPG
test_data\images\DJI_0009_patch_04.JPG test_data\masks\DJI_0009_patch_04.JPG
test_data\images\DJI_0009_patch_05.JPG test_data\masks\DJI_0009_patch_05.JPG
test_data\images\DJI_0009_patch_06.JPG test_data\masks\DJI_0009_patch_06.JPG
test_data\images\DJI_0009_patch_10.JPG test_data\masks\DJI_0009_patch_10.JPG
test_data\images\DJI_0009_patch_11.JPG test_data\masks\DJI_0009_patch_11.JPG
test_data\images\DJI_0009_patch_12.JPG test_data\masks\DJI_0009_patch_12.JPG
test_data\images\DJI_0009_patch_13.JPG test_data\masks\DJI_0009_patch_13.JPG
test_data\images\DJI_0009_patch_14.JPG test_data\masks\DJI_0009_patch_14.JPG
test_data\images\DJI_0009_patch_15.JPG test_data\masks\DJI_0009_patch_15.JPG
test_data\images\DJI_0009_patch_16.JPG test_data\masks\DJI_0009_patch_16.JPG
test_data\images\DJI_0009_patch_20.JPG test_data\masks\DJI_0009_patch_20.JPG
test_data\images\DJI_0009_patch_21.JPG test_data\masks\DJI_0009_patch_21.JPG
test_data\images\DJI_0009_patch_22.JPG test_data\masks\DJI_0009_patch_22.JPG
test_data\images\DJI_0009_patch_23.JPG test_data\masks\DJI_0009_patch_23.JPG
test_data\images\DJI_0009_patch_24.JPG test_data\masks\DJI_0009_patch_24.JPG
test_data\images\DJI_0009_patch_25.JPG test_data\masks\DJI_0009_patch_25.JPG
test_data\images\DJI_0009_patch_26.JPG test_data\masks\DJI_0009_patch_26.JPG
test_data\images\DJI_0009_patch_30.JPG test_data\masks\DJI_0009_patch_30.JPG
test_data\images\DJI_0009_patch_31.JPG test_data\masks\DJI_0009_patch_31.JPG
test_data\images\DJI_0009_patch_32.JPG test_data\masks\DJI_0009_patch_32.JPG
test_data\images\DJI_0009_patch_33.JPG test_data\masks\DJI_0009_patch_33.JPG
test_data\images\DJI_0009_patch_34.JPG test_data\masks\DJI_0009_patch_34.JPG
test_data\images\DJI_0009_patch_35.JPG test_data\masks\DJI_0009_patch_35.JPG
test_data\images\DJI_0009_patch_36.JPG test_data\masks\DJI_0009_patch_36.JPG
test_data\images\DJI_0009_patch_40.JPG test_data\masks\DJI_0009_patch_40.JPG
test_data\images\DJI_0009_patch_41.JPG test_data\masks\DJI_0009_patch_41.JPG
test_data\images\DJI_0009_patch_42.JPG test_data\masks\DJI_0009_patch_42.JPG
test_data\images\DJI_0009_patch_43.JPG test_data\masks\DJI_0009_patch_43.JPG
test_data\images\DJI_0009_patch_44.JPG test_data\masks\DJI_0009_patch_44.JPG
test_data\images\DJI_0009_patch_45.JPG test_data\masks\DJI_0009_patch_45.JPG
test_data\images\DJI_0009_patch_46.JPG test_data\masks\DJI_0009_patch_46.JPG
test_data\images\DJI_0016_patch_00.JPG test_data\masks\DJI_0016_patch_00.JPG
test_data\images\DJI_0016_patch_01.JPG test_data\masks\DJI_0016_patch_01.JPG
test_data\images\DJI_0016_patch_02.JPG test_data\masks\DJI_0016_patch_02.JPG
test_data\images\DJI_0016_patch_03.JPG test_data\masks\DJI_0016_patch_03.JPG
test_data\images\DJI_0016_patch_04.JPG test_data\masks\DJI_0016_patch_04.JPG
test_data\images\DJI_0016_patch_05.JPG test_data\masks\DJI_0016_patch_05.JPG
test_data\images\DJI_0016_patch_06.JPG test_data\masks\DJI_0016_patch_06.JPG
test_data\images\DJI_0016_patch_10.JPG test_data\masks\DJI_0016_patch_10.JPG
test_data\images\DJI_0016_patch_11.JPG test_data\masks\DJI_0016_patch_11.JPG
test_data\images\DJI_0016_patch_12.JPG test_data\masks\DJI_0016_patch_12.JPG
test_data\images\DJI_0016_patch_13.JPG test_data\masks\DJI_0016_patch_13.JPG
test_data\images\DJI_0016_patch_14.JPG test_data\masks\DJI_0016_patch_14.JPG
test_data\images\DJI_0016_patch_15.JPG test_data\masks\DJI_0016_patch_15.JPG
test_data\images\DJI_0016_patch_16.JPG test_data\masks\DJI_0016_patch_16.JPG
test_data\images\DJI_0016_patch_20.JPG test_data\masks\DJI_0016_patch_20.JPG
test_data\images\DJI_0016_patch_21.JPG test_data\masks\DJI_0016_patch_21.JPG
test_data\images\DJI_0016_patch_22.JPG test_data\masks\DJI_0016_patch_22.JPG
test_data\images\DJI_0016_patch_23.JPG test_data\masks\DJI_0016_patch_23.JPG
test_data\images\DJI_0016_patch_24.JPG test_data\masks\DJI_0016_patch_24.JPG
test_data\images\DJI_0016_patch_25.JPG test_data\masks\DJI_0016_patch_25.JPG
test_data\images\DJI_0016_patch_26.JPG test_data\masks\DJI_0016_patch_26.JPG
test_data\images\DJI_0016_patch_30.JPG test_data\masks\DJI_0016_patch_30.JPG
test_data\images\DJI_0016_patch_31.JPG test_data\masks\DJI_0016_patch_31.JPG
test_data\images\DJI_0016_patch_32.JPG test_data\masks\DJI_0016_patch_32.JPG
test_data\images\DJI_0016_patch_33.JPG test_data\masks\DJI_0016_patch_33.JPG
test_data\images\DJI_0016_patch_34.JPG test_data\masks\DJI_0016_patch_34.JPG
test_data\images\DJI_0016_patch_35.JPG test_data\masks\DJI_0016_patch_35.JPG
test_data\images\DJI_0016_patch_36.JPG test_data\masks\DJI_0016_patch_36.JPG
test_data\images\DJI_0016_patch_40.JPG test_data\masks\DJI_0016_patch_40.JPG
test_data\images\DJI_0016_patch_41.JPG test_data\masks\DJI_0016_patch_41.JPG
test_data\images\DJI_0016_patch_42.JPG test_data\masks\DJI_0016_patch_42.JPG
test_data\images\DJI_0016_patch_43.JPG test_data\masks\DJI_0016_patch_43.JPG
test_data\images\DJI_0016_patch_44.JPG test_data\masks\DJI_0016_patch_44.JPG
test_data\images\DJI_0016_patch_45.JPG test_data\masks\DJI_0016_patch_45.JPG
test_data\images\DJI_0016_patch_46.JPG test_data\masks\DJI_0016_patch_46.JPG
test_data\images\DJI_0327_patch_00.JPG test_data\masks\DJI_0327_patch_00.JPG
test_data\images\DJI_0327_patch_01.JPG test_data\masks\DJI_0327_patch_01.JPG
test_data\images\DJI_0327_patch_02.JPG test_data\masks\DJI_0327_patch_02.JPG
test_data\images\DJI_0327_patch_03.JPG test_data\masks\DJI_0327_patch_03.JPG
test_data\images\DJI_0327_patch_04.JPG test_data\masks\DJI_0327_patch_04.JPG
test_data\images\DJI_0327_patch_05.JPG test_data\masks\DJI_0327_patch_05.JPG
test_data\images\DJI_0327_patch_06.JPG test_data\masks\DJI_0327_patch_06.JPG
test_data\images\DJI_0327_patch_10.JPG test_data\masks\DJI_0327_patch_10.JPG
test_data\images\DJI_0327_patch_11.JPG test_data\masks\DJI_0327_patch_11.JPG
test_data\images\DJI_0327_patch_12.JPG test_data\masks\DJI_0327_patch_12.JPG
test_data\images\DJI_0327_patch_13.JPG test_data\masks\DJI_0327_patch_13.JPG
test_data\images\DJI_0327_patch_14.JPG test_data\masks\DJI_0327_patch_14.JPG
test_data\images\DJI_0327_patch_15.JPG test_data\masks\DJI_0327_patch_15.JPG
test_data\images\DJI_0327_patch_16.JPG test_data\masks\DJI_0327_patch_16.JPG
test_data\images\DJI_0327_patch_20.JPG test_data\masks\DJI_0327_patch_20.JPG
test_data\images\DJI_0327_patch_21.JPG test_data\masks\DJI_0327_patch_21.JPG
test_data\images\DJI_0327_patch_22.JPG test_data\masks\DJI_0327_patch_22.JPG
test_data\images\DJI_0327_patch_23.JPG test_data\masks\DJI_0327_patch_23.JPG
test_data\images\DJI_0327_patch_24.JPG test_data\masks\DJI_0327_patch_24.JPG
test_data\images\DJI_0327_patch_25.JPG test_data\masks\DJI_0327_patch_25.JPG
test_data\images\DJI_0327_patch_26.JPG test_data\masks\DJI_0327_patch_26.JPG
test_data\images\DJI_0327_patch_30.JPG test_data\masks\DJI_0327_patch_30.JPG
test_data\images\DJI_0327_patch_31.JPG test_data\masks\DJI_0327_patch_31.JPG
test_data\images\DJI_0327_patch_32.JPG test_data\masks\DJI_0327_patch_32.JPG
test_data\images\DJI_0327_patch_33.JPG test_data\masks\DJI_0327_patch_33.JPG
test_data\images\DJI_0327_patch_34.JPG test_data\masks\DJI_0327_patch_34.JPG
test_data\images\DJI_0327_patch_35.JPG test_data\masks\DJI_0327_patch_35.JPG
test_data\images\DJI_0327_patch_36.JPG test_data\masks\DJI_0327_patch_36.JPG
test_data\images\DJI_0327_patch_40.JPG test_data\masks\DJI_0327_patch_40.JPG
test_data\images\DJI_0327_patch_41.JPG test_data\masks\DJI_0327_patch_41.JPG
test_data\images\DJI_0327_patch_42.JPG test_data\masks\DJI_0327_patch_42.JPG
test_data\images\DJI_0327_patch_43.JPG test_data\masks\DJI_0327_patch_43.JPG
test_data\images\DJI_0327_patch_44.JPG test_data\masks\DJI_0327_patch_44.JPG
test_data\images\DJI_0327_patch_45.JPG test_data\masks\DJI_0327_patch_45.JPG
test_data\images\DJI_0327_patch_46.JPG test_data\masks\DJI_0327_patch_46.JPG
test_data\images\DJI_0357_patch_00.JPG test_data\masks\DJI_0357_patch_00.JPG
test_data\images\DJI_0357_patch_01.JPG test_data\masks\DJI_0357_patch_01.JPG
test_data\images\DJI_0357_patch_02.JPG test_data\masks\DJI_0357_patch_02.JPG
test_data\images\DJI_0357_patch_03.JPG test_data\masks\DJI_0357_patch_03.JPG
test_data\images\DJI_0357_patch_04.JPG test_data\masks\DJI_0357_patch_04.JPG
