train_data\images\DJI_0008_patch_00.jpg train_data\masks\DJI_0008_patch_00.png
train_data\images\DJI_0008_patch_01.jpg train_data\masks\DJI_0008_patch_01.png
train_data\images\DJI_0008_patch_02.jpg train_data\masks\DJI_0008_patch_02.png
train_data\images\DJI_0008_patch_03.jpg train_data\masks\DJI_0008_patch_03.png
train_data\images\DJI_0008_patch_04.jpg train_data\masks\DJI_0008_patch_04.png
train_data\images\DJI_0008_patch_05.jpg train_data\masks\DJI_0008_patch_05.png
train_data\images\DJI_0008_patch_06.jpg train_data\masks\DJI_0008_patch_06.png
train_data\images\DJI_0008_patch_10.jpg train_data\masks\DJI_0008_patch_10.png
train_data\images\DJI_0008_patch_11.jpg train_data\masks\DJI_0008_patch_11.png
train_data\images\DJI_0008_patch_12.jpg train_data\masks\DJI_0008_patch_12.png
train_data\images\DJI_0008_patch_13.jpg train_data\masks\DJI_0008_patch_13.png
train_data\images\DJI_0008_patch_14.jpg train_data\masks\DJI_0008_patch_14.png
train_data\images\DJI_0008_patch_15.jpg train_data\masks\DJI_0008_patch_15.png
train_data\images\DJI_0008_patch_16.jpg train_data\masks\DJI_0008_patch_16.png
train_data\images\DJI_0008_patch_20.jpg train_data\masks\DJI_0008_patch_20.png
train_data\images\DJI_0008_patch_21.jpg train_data\masks\DJI_0008_patch_21.png
train_data\images\DJI_0008_patch_22.jpg train_data\masks\DJI_0008_patch_22.png
train_data\images\DJI_0008_patch_23.jpg train_data\masks\DJI_0008_patch_23.png
train_data\images\DJI_0008_patch_24.jpg train_data\masks\DJI_0008_patch_24.png
train_data\images\DJI_0008_patch_25.jpg train_data\masks\DJI_0008_patch_25.png
train_data\images\DJI_0008_patch_26.jpg train_data\masks\DJI_0008_patch_26.png
train_data\images\DJI_0008_patch_30.jpg train_data\masks\DJI_0008_patch_30.png
train_data\images\DJI_0008_patch_31.jpg train_data\masks\DJI_0008_patch_31.png
train_data\images\DJI_0008_patch_32.jpg train_data\masks\DJI_0008_patch_32.png
train_data\images\DJI_0008_patch_33.jpg train_data\masks\DJI_0008_patch_33.png
train_data\images\DJI_0008_patch_34.jpg train_data\masks\DJI_0008_patch_34.png
train_data\images\DJI_0008_patch_35.jpg train_data\masks\DJI_0008_patch_35.png
train_data\images\DJI_0008_patch_36.jpg train_data\masks\DJI_0008_patch_36.png
train_data\images\DJI_0008_patch_40.jpg train_data\masks\DJI_0008_patch_40.png
train_data\images\DJI_0008_patch_41.jpg train_data\masks\DJI_0008_patch_41.png
train_data\images\DJI_0008_patch_42.jpg train_data\masks\DJI_0008_patch_42.png
train_data\images\DJI_0008_patch_43.jpg train_data\masks\DJI_0008_patch_43.png
train_data\images\DJI_0008_patch_44.jpg train_data\masks\DJI_0008_patch_44.png
train_data\images\DJI_0008_patch_45.jpg train_data\masks\DJI_0008_patch_45.png
train_data\images\DJI_0008_patch_46.jpg train_data\masks\DJI_0008_patch_46.png
train_data\images\DJI_0010_patch_00.jpg train_data\masks\DJI_0010_patch_00.png
train_data\images\DJI_0010_patch_01.jpg train_data\masks\DJI_0010_patch_01.png
train_data\images\DJI_0010_patch_02.jpg train_data\masks\DJI_0010_patch_02.png
train_data\images\DJI_0010_patch_03.jpg train_data\masks\DJI_0010_patch_03.png
train_data\images\DJI_0010_patch_04.jpg train_data\masks\DJI_0010_patch_04.png
train_data\images\DJI_0010_patch_05.jpg train_data\masks\DJI_0010_patch_05.png
train_data\images\DJI_0010_patch_06.jpg train_data\masks\DJI_0010_patch_06.png
train_data\images\DJI_0010_patch_10.jpg train_data\masks\DJI_0010_patch_10.png
train_data\images\DJI_0010_patch_11.jpg train_data\masks\DJI_0010_patch_11.png
train_data\images\DJI_0010_patch_12.jpg train_data\masks\DJI_0010_patch_12.png
train_data\images\DJI_0010_patch_13.jpg train_data\masks\DJI_0010_patch_13.png
train_data\images\DJI_0010_patch_14.jpg train_data\masks\DJI_0010_patch_14.png
train_data\images\DJI_0010_patch_15.jpg train_data\masks\DJI_0010_patch_15.png
train_data\images\DJI_0010_patch_16.jpg train_data\masks\DJI_0010_patch_16.png
train_data\images\DJI_0010_patch_20.jpg train_data\masks\DJI_0010_patch_20.png
train_data\images\DJI_0010_patch_21.jpg train_data\masks\DJI_0010_patch_21.png
train_data\images\DJI_0010_patch_22.jpg train_data\masks\DJI_0010_patch_22.png
train_data\images\DJI_0010_patch_23.jpg train_data\masks\DJI_0010_patch_23.png
train_data\images\DJI_0010_patch_24.jpg train_data\masks\DJI_0010_patch_24.png
train_data\images\DJI_0010_patch_25.jpg train_data\masks\DJI_0010_patch_25.png
train_data\images\DJI_0010_patch_26.jpg train_data\masks\DJI_0010_patch_26.png
train_data\images\DJI_0010_patch_30.jpg train_data\masks\DJI_0010_patch_30.png
train_data\images\DJI_0010_patch_31.jpg train_data\masks\DJI_0010_patch_31.png
train_data\images\DJI_0010_patch_32.jpg train_data\masks\DJI_0010_patch_32.png
train_data\images\DJI_0010_patch_33.jpg train_data\masks\DJI_0010_patch_33.png
train_data\images\DJI_0010_patch_34.jpg train_data\masks\DJI_0010_patch_34.png
train_data\images\DJI_0010_patch_35.jpg train_data\masks\DJI_0010_patch_35.png
train_data\images\DJI_0010_patch_36.jpg train_data\masks\DJI_0010_patch_36.png
train_data\images\DJI_0010_patch_40.jpg train_data\masks\DJI_0010_patch_40.png
train_data\images\DJI_0010_patch_41.jpg train_data\masks\DJI_0010_patch_41.png
train_data\images\DJI_0010_patch_42.jpg train_data\masks\DJI_0010_patch_42.png
train_data\images\DJI_0010_patch_43.jpg train_data\masks\DJI_0010_patch_43.png
train_data\images\DJI_0010_patch_44.jpg train_data\masks\DJI_0010_patch_44.png
train_data\images\DJI_0010_patch_45.jpg train_data\masks\DJI_0010_patch_45.png
train_data\images\DJI_0010_patch_46.jpg train_data\masks\DJI_0010_patch_46.png
train_data\images\DJI_0011_patch_00.jpg train_data\masks\DJI_0011_patch_00.png
train_data\images\DJI_0011_patch_01.jpg train_data\masks\DJI_0011_patch_01.png
train_data\images\DJI_0011_patch_02.jpg train_data\masks\DJI_0011_patch_02.png
train_data\images\DJI_0011_patch_03.jpg train_data\masks\DJI_0011_patch_03.png
train_data\images\DJI_0011_patch_04.jpg train_data\masks\DJI_0011_patch_04.png
train_data\images\DJI_0011_patch_05.jpg train_data\masks\DJI_0011_patch_05.png
train_data\images\DJI_0011_patch_06.jpg train_data\masks\DJI_0011_patch_06.png
train_data\images\DJI_0011_patch_10.jpg train_data\masks\DJI_0011_patch_10.png
train_data\images\DJI_0011_patch_11.jpg train_data\masks\DJI_0011_patch_11.png
train_data\images\DJI_0011_patch_12.jpg train_data\masks\DJI_0011_patch_12.png
train_data\images\DJI_0011_patch_13.jpg train_data\masks\DJI_0011_patch_13.png
train_data\images\DJI_0011_patch_14.jpg train_data\masks\DJI_0011_patch_14.png
train_data\images\DJI_0011_patch_15.jpg train_data\masks\DJI_0011_patch_15.png
train_data\images\DJI_0011_patch_16.jpg train_data\masks\DJI_0011_patch_16.png
train_data\images\DJI_0011_patch_20.jpg train_data\masks\DJI_0011_patch_20.png
train_data\images\DJI_0011_patch_21.jpg train_data\masks\DJI_0011_patch_21.png
train_data\images\DJI_0011_patch_22.jpg train_data\masks\DJI_0011_patch_22.png
train_data\images\DJI_0011_patch_23.jpg train_data\masks\DJI_0011_patch_23.png
train_data\images\DJI_0011_patch_24.jpg train_data\masks\DJI_0011_patch_24.png
